ID,the_geom,LAeq (dB)
0,"MULTILINESTRING ((-76.52691637839294 3.4985096501480992, -76.52691645031751 3.498723991587163, -76.5269163798365 3.4987240624199223, -76.52691630935453 3.498723991588121, -76.52691637839294 3.4985096501480992))",65
1,"MULTILINESTRING ((-76.4918209106685 3.494541082236106, -76.49180152067355 3.4945834392823687, -76.49171286417948 3.4948024844862258, -76.49171285619686 3.4950638900594946, -76.4916567036673 3.495325293898251, -76.49162411035955 3.495586698460988, -76.49160473485067 3.4958481034302404, -76.4915953461156 3.4961095087068643, -76.4915959451157 3.496370914291258, -76.49160834570979 3.4966323202396277, -76.4916356760677 3.49689372664836, -76.49168237324092 3.4971551336533024, -76.49175457791536 3.497416541440902, -76.4917545699383 3.497677946999459, -76.4918014224456 3.4978088316537086, -76.49186073754923 3.4979393558223633, -76.4920135643157 3.4982007660583885, -76.49206151922472 3.4982707378018434, -76.49223779993 3.4984621784352803, -76.49232162188417 3.4985446047939237, -76.49257779806057 3.498723594231196, -76.49258172742678 3.498726322652076, -76.49284183431352 3.4988657038607793, -76.49310194265257 3.4989578331867555, -76.49316934411713 3.4989850173104116, -76.4933620504896 3.4990691572249477, -76.49362216097353 3.499089938408238, -76.49388227205732 3.49908992838569, -76.49414238370227 3.4990698959529154, -76.49440249591511 3.499029000239534, -76.49458415077852 3.4989850577087687, -76.49466260865451 3.4989681178757674, -76.49492272473863 3.49878291563561, -76.49503574253781 3.498723664594097, -76.49518283938907 3.4986472372255895, -76.49544295510752 3.498468636887104, -76.49545090108089 3.498462270279822, -76.49570307213237 3.4982367095368754, -76.49573648833093 3.4982008723458247, -76.49593616232698 3.497939472062739, -76.4959631919684 3.4978920117557863, -76.49607385347893 3.497678070113262, -76.49607386025995 3.4974166645454825, -76.49615298684735 3.497155261044974, -76.49618218624823 3.496893856235635, -76.49616757677033 3.4966324502820463, -76.4961091064298 3.496371043181053, -76.49599697845781 3.4961096346674334, -76.49596323955033 3.496065703632703, -76.49584698935145 3.495848225139724, -76.49570313921146 3.4956889817636467, -76.49563844148797 3.4955868140287127, -76.49544303647527 3.4954101933167587, -76.49537669338702 3.4953254014398656, -76.49518293229434 3.4951908916174372, -76.4950510647842 3.4950639870377076, -76.49505107184315 3.494802581457171, -76.49492283450745 3.4947404420080486, -76.4947939077224 3.4945411688285715, -76.49466273221128 3.4944635112204767, -76.49440262513272 3.494364828945724, -76.49425867575549 3.4942797483543533, -76.4941425186234 3.4942477469086977, -76.49388241015808 3.494202240138066, -76.49362230145655 3.494165915449218, -76.49336219282864 3.4941277471365915, -76.4931020840201 3.494096536994003, -76.49284197401778 3.494106625712539, -76.49258186350393 3.494133821037858, -76.49232175221809 3.49418636616048, -76.49208341456541 3.4942796846847433, -76.49206163922815 3.494294467299147, -76.4918209106685 3.494541082236106))",65
2,"MULTILINESTRING ((-76.49414254527441 3.4932944343881904, -76.49440265318607 3.493351401801273, -76.49466276001775 3.4934489433264786, -76.49470163639751 3.493495543942296, -76.49471406790194 3.493756949873114, -76.49466274937062 3.49383745765867, -76.49440263709162 3.4939328495806357, -76.494142527603 3.493926573778023, -76.49388242061809 3.4938317567611663, -76.49362474338466 3.493756919155419, -76.4936223133311 3.4937493847348247, -76.49357601444409 3.4934955121666436, -76.49362232151068 3.493462434974749, -76.49388243418662 3.4933511144533513, -76.49414254527441 3.4932944343881904))",75
3,"MULTILINESTRING ((-76.49544308563868 3.493560936277033, -76.49552726803016 3.4937569719779256, -76.4954430745195 3.493979264846698, -76.4954257508287 3.494018374844433, -76.49518296009298 3.4941560320347427, -76.4949228486845 3.4942179981432906, -76.49466273916599 3.494209784665165, -76.49440263054345 3.494169389887792, -76.49414252199358 3.494127209453107, -76.49388241340539 3.494087228087287, -76.49362791833913 3.4940183248304724, -76.49362230576159 3.494014911143117, -76.49336219941458 3.4938989411562233, -76.49317090820692 3.493756905983664, -76.49310210094748 3.493513987526544, -76.49308663954078 3.493495497929703, -76.4931021021656 3.493472063309041, -76.49318447042234 3.4932340952105863, -76.4933622211714 3.493142967095959, -76.49362233138986 3.4931158306316865, -76.4938824410435 3.4931081957641887, -76.49414255046284 3.493108812471315, -76.4944026598026 3.4931123369384673, -76.49466276894834 3.49312303205863, -76.4949228762815 3.49320078554347, -76.49503940665355 3.493234147623732, -76.49518298253302 3.4933204323702247, -76.4954192425357 3.4934955634933456, -76.49544308563868 3.493560936277033))",70
4,"MULTILINESTRING ((-76.52051045548305 3.4932344955691903, -76.52063622400756 3.4934959011832274, -76.52054630970012 3.493757306800003, -76.52041704112276 3.4940187124013717, -76.52041360531265 3.494024791246456, -76.52015349554426 3.49414412380165, -76.51989338575814 3.4941957437404203, -76.51963327613093 3.4940568685515236, -76.51958322453562 3.4940187119003405, -76.51942739879297 3.4937573061118394, -76.51942516785776 3.4934959004951707, -76.51955659116265 3.4932344950301775, -76.51963327701421 3.4931585058838546, -76.51983775938791 3.4929730896731366, -76.51989338664438 3.492943956057156, -76.52015349605341 3.49296762678217, -76.52016491128676 3.4929730898692393, -76.5204136054584 3.493099753461583, -76.52051045548305 3.4932344955691903))",70
5,"MULTILINESTRING ((-76.51668076794446 3.4919274594258076, -76.51651196817141 3.4920163363332883, -76.5163145221743 3.4921888634582148, -76.51625185783912 3.492272724192557, -76.51621213585065 3.492450268608791, -76.51621213464773 3.492711674227961, -76.51621753654018 3.492973079870749, -76.51625185402126 3.4931099968464716, -76.51634792707543 3.4932344860830993, -76.51651196229307 3.4933882581137854, -76.51667416071956 3.4934958931099316, -76.51677207120598 3.493544859737518, -76.51703218092423 3.4935089478401053, -76.51706504695153 3.4934958946520807, -76.51729229109564 3.493336377025857, -76.5173835130939 3.49323449017275, -76.51750771629744 3.4929730849697016, -76.517496320915 3.492711679314371, -76.51749632176282 3.4924502736948195, -76.51735291073682 3.4921888675932027, -76.51729229525917 3.4921328116661683, -76.51703218669124 3.491964691055279, -76.51693349236291 3.491927460439286, -76.51677207779791 3.4919008290936455, -76.51668076794446 3.4919274594258076))",60
6,"MULTILINESTRING ((-76.4985644911578 3.4896613878007456, -76.4986822765873 3.489835966970898, -76.4986822705417 3.490097372586432, -76.49864036196142 3.490358777220937, -76.49856447269558 3.490455382113904, -76.4983977635505 3.490620177125107, -76.49830435897282 3.4906681842465823, -76.49817486396486 3.4906201718247774, -76.49804425440438 3.4904915472067506, -76.49802367593549 3.490358762587933, -76.49804426107372 3.490211372034283, -76.49813035306533 3.4900973595350253, -76.4981303592634 3.4898359539204686, -76.49830438339345 3.4896302404264565, -76.4985644911578 3.4896613878007456))",70
7,"MULTILINESTRING ((-76.52587588972663 3.490531878972287, -76.52589903428763 3.4906204241344385, -76.52587589115906 3.4907868811627445, -76.52586047417053 3.4908818299824698, -76.52569085105115 3.4911432365542265, -76.52561578455521 3.491202574962363, -76.52535567643207 3.4913636013737945, -76.52526477410795 3.491404644416594, -76.52509556784655 3.491446659689757, -76.52483545895356 3.4914718049253652, -76.52457534979753 3.4914382402309783, -76.52443894188146 3.491404648198704, -76.52431524047283 3.4913575371706624, -76.52405513101681 3.4912292705159764, -76.5238735368019 3.491143244741298, -76.52379502155401 3.491078400303459, -76.52355362917362 3.4908818401890715, -76.52353491193952 3.4908528612523355, -76.52342484183015 3.4906204349615004, -76.52346083690378 3.4903590292194036, -76.52353491013115 3.490277378284982, -76.52371324230108 3.490097622771708, -76.52371324143054 3.4898362171373902, -76.52379501717556 3.489797103293234, -76.5240551252985 3.4896805182799637, -76.52427332938238 3.4895748094510255, -76.52431523336267 3.489565292024634, -76.5245753417112 3.489532062570056, -76.52483545012127 3.489516533837787, -76.52509555882479 3.4895640488004265, -76.52514136305443 3.4895748056115807, -76.52535566788562 3.4896769638684018, -76.52561577721883 3.48982926434199, -76.5256258934266 3.4898362087539243, -76.52562589482561 3.490097614387613, -76.52582665194983 3.4903590189133147, -76.52587588972663 3.490531878972287))",70
8,"MULTILINESTRING ((-76.49622351822416 3.48952442858122, -76.49609510236692 3.4893130917595396, -76.49596869251953 3.489051682835571, -76.49596342214737 3.4890482650562222, -76.495703317574 3.488905495106692, -76.4954432092435 3.4889072483372012, -76.49518309949434 3.488961885122661, -76.49501877165808 3.4890516574270696, -76.49492298241663 3.4892859142979527, -76.49491055162056 3.489313060084286, -76.49492298056425 3.489354277916847, -76.4949968901848 3.4895744680552734, -76.49512139646043 3.489835877054262, -76.49512138943096 3.4900972826630463, -76.49518306267488 3.490334547746547, -76.49524181497316 3.4903586915330114, -76.49544316439345 3.4905965625244595, -76.49546723913592 3.490620103205116, -76.49570327000227 3.4907160409177873, -76.49589139332967 3.4908815200775245, -76.4959633737932 3.4909079591551664, -76.49622348041764 3.490993881114408, -76.49648358905722 3.491002524988639, -76.49656983217726 3.4908815377001954, -76.49670953164555 3.490620135660274, -76.49674370975457 3.490532554437829, -76.49677932662664 3.490358731825541, -76.49674371844733 3.49018731722065, -76.49671373112636 3.4900973245474334, -76.49671373771587 3.489835918935505, -76.49648362494682 3.4895925249534097, -76.49638793481193 3.489574504973581, -76.49622351822416 3.48952442858122))",60
9,"MULTILINESTRING ((-76.50468035852593 3.4893132765812034, -76.50480710239029 3.489230224993148, -76.50499677392743 3.4890518762606537, -76.50506721440806 3.489008567727036, -76.50532732362703 3.488953202994253, -76.50558743248511 3.4889187402786406, -76.50584754106751 3.4889008102235044, -76.50610764943018 3.488896639613343, -76.50636775761515 3.488904182573542, -76.50662786527813 3.4889474776494205, -76.50688797311624 3.4889803204180825, -76.50714808088412 3.489019410187017, -76.50733502243988 3.489051912178421, -76.50740818850743 3.4890704657215874, -76.50766829588163 3.4891418823318365, -76.50792840325126 3.4892166002386578, -76.50818851061317 3.4892950678688375, -76.50822340527527 3.4893133299286903, -76.50844861636239 3.4895028920309827, -76.50869135575567 3.489574741605252, -76.50870872383419 3.4895823461811455, -76.50896883172929 3.489630838806397, -76.50922894030582 3.489624687029752, -76.50948904916135 3.4895944269614088, -76.50968736291269 3.489574753693583, -76.50974915793219 3.489570142492058, -76.5097942854168 3.4895747549283542, -76.51000926613847 3.489595297648052, -76.5102693739783 3.489655429932576, -76.51052948155609 3.489743410236991, -76.51072901413718 3.4898361708357095, -76.51072901142017 3.4900975764665514, -76.51078958614009 3.4901259053685725, -76.51104969313835 3.4902892200542106, -76.51113004955462 3.4903589862194484, -76.51130979969551 3.4905068218687316, -76.51134632164573 3.490620394000303, -76.51142500062123 3.4908818003979984, -76.51154815201414 3.4911432072167776, -76.51156990180472 3.4912048359848695, -76.51164121661913 3.4914046137319588, -76.51169966600784 3.4916660199096037, -76.51171351474288 3.4919274256618134, -76.5115698949122 3.49192964260557, -76.51156768762347 3.4919274242724674, -76.5113097882897 3.491672679640068, -76.51104967921971 3.4916730705377454, -76.51104265728817 3.491666013461498, -76.51078957285324 3.4914118620217085, -76.5105294638594 3.4914118550429096, -76.51026935486615 3.4914118135105507, -76.51026217687634 3.491404599580983, -76.51000924879088 3.4911502994170482, -76.509749139877 3.4911496474081587, -76.50948903096243 3.4911491043803036, -76.50948314115048 3.4911431850669676, -76.50922892518514 3.490886796364516, -76.50896881634178 3.49088640302222, -76.50871365258213 3.4911431756489426, -76.5087135797432 3.4914045812697623, -76.50870870093785 3.491409484272225, -76.50845362656354 3.4916659835650043, -76.50845278765286 3.4919273891726905, -76.50845149161037 3.4921887947729866, -76.50844858192514 3.4921917188850897, -76.50819036563274 3.4924501969745387, -76.5081903622117 3.492711602588335, -76.50818846416593 3.492845163886415, -76.50792835428379 3.492882291832504, -76.50766824441276 3.492917126186262, -76.50740813462339 3.4929447329557157, -76.50714802496579 3.4929620049332555, -76.50688791548266 3.4929665761682744, -76.50662780620785 3.492956865165847, -76.50636769773227 3.49289430510068, -76.50610758910604 3.4928438681035963, -76.50584748068405 3.4927821103733705, -76.5056004094333 3.4927115647806275, -76.50560041357048 3.4924501591696675, -76.50558737666236 3.4924447288511296, -76.50532726938017 3.4923211947782486, -76.50506716221886 3.492194448387952, -76.5050621094264 3.4921887448010756, -76.5048821356312 3.491927336191475, -76.50480705959711 3.4917994645271904, -76.50465878117113 3.491665926810584, -76.50454695509879 3.4915280930011785, -76.50444238976169 3.491404517495382, -76.50428961350255 3.4911431092366234, -76.50428685284571 3.491134927444174, -76.50419723931687 3.4908817020090726, -76.50416132117185 3.4906202957612877, -76.50418089598888 3.490358890482706, -76.50426128087419 3.4900974862621528, -76.50426128537828 3.4898360806380824, -76.5042868760145 3.489788348027053, -76.50441532729978 3.489574677679471, -76.50454699056782 3.4894331501127858, -76.50468035852593 3.4893132765812034))",70
